,N,d,algo,mem
0,100,2,nmoo,121.29296875
1,100,2,pymoo,121.5625
2,100,2,nmoo,121.71484375
3,100,2,pymoo,121.71484375
4,100,2,nmoo,121.72265625
5,100,2,pymoo,121.72265625
6,100,2,nmoo,121.72265625
7,100,2,pymoo,121.72265625
8,100,2,nmoo,121.72265625
9,100,2,pymoo,121.72265625
10,100,2,nmoo,121.72265625
11,100,2,pymoo,121.72265625
12,100,2,nmoo,121.72265625
13,100,2,pymoo,121.72265625
14,100,2,nmoo,121.7265625
15,100,2,pymoo,121.7265625
16,100,2,nmoo,121.7265625
17,100,2,pymoo,121.7265625
18,100,2,nmoo,121.7265625
19,100,2,pymoo,121.7265625
20,100,3,nmoo,121.7265625
21,100,3,pymoo,121.7265625
22,100,3,nmoo,121.7265625
23,100,3,pymoo,121.7265625
24,100,3,nmoo,121.7265625
25,100,3,pymoo,121.7265625
26,100,3,nmoo,121.7265625
27,100,3,pymoo,121.7265625
28,100,3,nmoo,121.7265625
29,100,3,pymoo,121.7265625
30,100,3,nmoo,121.7265625
31,100,3,pymoo,121.7265625
32,100,3,nmoo,121.7265625
33,100,3,pymoo,121.7265625
34,100,3,nmoo,121.73046875
35,100,3,pymoo,121.73046875
36,100,3,nmoo,121.73046875
37,100,3,pymoo,121.73046875
38,100,3,nmoo,121.73046875
39,100,3,pymoo,121.73046875
40,100,4,nmoo,121.73046875
41,100,4,pymoo,121.73046875
42,100,4,nmoo,121.73046875
43,100,4,pymoo,121.73046875
44,100,4,nmoo,121.73046875
45,100,4,pymoo,121.73046875
46,100,4,nmoo,121.73046875
47,100,4,pymoo,121.73046875
48,100,4,nmoo,121.73046875
49,100,4,pymoo,121.73046875
50,100,4,nmoo,121.73046875
51,100,4,pymoo,121.734375
52,100,4,nmoo,121.734375
53,100,4,pymoo,121.734375
54,100,4,nmoo,121.734375
55,100,4,pymoo,121.734375
56,100,4,nmoo,121.734375
57,100,4,pymoo,121.734375
58,100,4,nmoo,121.734375
59,100,4,pymoo,121.734375
60,100,5,nmoo,121.734375
61,100,5,pymoo,121.734375
62,100,5,nmoo,121.734375
63,100,5,pymoo,121.734375
64,100,5,nmoo,121.734375
65,100,5,pymoo,121.734375
66,100,5,nmoo,121.734375
67,100,5,pymoo,121.734375
68,100,5,nmoo,121.734375
69,100,5,pymoo,121.73828125
70,100,5,nmoo,121.73828125
71,100,5,pymoo,121.73828125
72,100,5,nmoo,121.73828125
73,100,5,pymoo,121.73828125
74,100,5,nmoo,121.73828125
75,100,5,pymoo,121.73828125
76,100,5,nmoo,121.73828125
77,100,5,pymoo,121.73828125
78,100,5,nmoo,121.73828125
79,100,5,pymoo,121.73828125
80,100,6,nmoo,121.73828125
81,100,6,pymoo,121.73828125
82,100,6,nmoo,121.7421875
83,100,6,pymoo,121.7421875
84,100,6,nmoo,121.7421875
85,100,6,pymoo,121.74609375
86,100,6,nmoo,121.74609375
87,100,6,pymoo,121.74609375
88,100,6,nmoo,121.74609375
89,100,6,pymoo,121.75
90,100,6,nmoo,121.75
91,100,6,pymoo,121.75
92,100,6,nmoo,121.75
93,100,6,pymoo,121.75
94,100,6,nmoo,121.75
95,100,6,pymoo,121.75
96,100,6,nmoo,121.75
97,100,6,pymoo,121.75
98,100,6,nmoo,121.75
99,100,6,pymoo,121.75
100,100,7,nmoo,121.75
101,100,7,pymoo,121.75390625
102,100,7,nmoo,121.75390625
103,100,7,pymoo,121.75390625
104,100,7,nmoo,121.75390625
105,100,7,pymoo,121.7578125
106,100,7,nmoo,121.7578125
107,100,7,pymoo,121.7578125
108,100,7,nmoo,121.7578125
109,100,7,pymoo,121.7578125
110,100,7,nmoo,121.7578125
111,100,7,pymoo,121.7578125
112,100,7,nmoo,121.7578125
113,100,7,pymoo,121.7578125
114,100,7,nmoo,121.7578125
115,100,7,pymoo,121.7578125
116,100,7,nmoo,121.7578125
117,100,7,pymoo,121.7578125
118,100,7,nmoo,121.7578125
119,100,7,pymoo,121.76171875
120,500,2,nmoo,122.40234375
121,500,2,pymoo,123.69140625
122,500,2,nmoo,124.08203125
123,500,2,pymoo,124.1171875
124,500,2,nmoo,124.1015625
125,500,2,pymoo,124.1015625
126,500,2,nmoo,124.3515625
127,500,2,pymoo,124.36328125
128,500,2,nmoo,124.484375
129,500,2,pymoo,124.484375
130,500,2,nmoo,124.484375
131,500,2,pymoo,124.484375
132,500,2,nmoo,124.484375
133,500,2,pymoo,124.484375
134,500,2,nmoo,124.484375
135,500,2,pymoo,124.484375
136,500,2,nmoo,124.484375
137,500,2,pymoo,124.484375
138,500,2,nmoo,124.484375
139,500,2,pymoo,124.484375
140,500,3,nmoo,124.484375
141,500,3,pymoo,124.484375
142,500,3,nmoo,124.484375
143,500,3,pymoo,124.484375
144,500,3,nmoo,124.484375
145,500,3,pymoo,124.484375
146,500,3,nmoo,124.484375
147,500,3,pymoo,124.484375
148,500,3,nmoo,124.484375
149,500,3,pymoo,124.484375
150,500,3,nmoo,124.484375
151,500,3,pymoo,124.484375
152,500,3,nmoo,124.484375
153,500,3,pymoo,124.484375
154,500,3,nmoo,124.484375
155,500,3,pymoo,124.484375
156,500,3,nmoo,124.484375
157,500,3,pymoo,124.484375
158,500,3,nmoo,124.484375
159,500,3,pymoo,124.484375
160,500,4,nmoo,124.484375
161,500,4,pymoo,124.48828125
162,500,4,nmoo,124.48828125
163,500,4,pymoo,124.4921875
164,500,4,nmoo,124.4921875
165,500,4,pymoo,124.4921875
166,500,4,nmoo,124.4921875
167,500,4,pymoo,124.4921875
168,500,4,nmoo,124.4921875
169,500,4,pymoo,124.4921875
170,500,4,nmoo,124.4921875
171,500,4,pymoo,124.49609375
172,500,4,nmoo,124.49609375
173,500,4,pymoo,124.49609375
174,500,4,nmoo,124.49609375
175,500,4,pymoo,124.49609375
176,500,4,nmoo,124.49609375
177,500,4,pymoo,124.49609375
178,500,4,nmoo,124.49609375
179,500,4,pymoo,124.49609375
180,500,5,nmoo,124.49609375
181,500,5,pymoo,124.49609375
182,500,5,nmoo,124.49609375
183,500,5,pymoo,124.49609375
184,500,5,nmoo,124.49609375
185,500,5,pymoo,124.49609375
186,500,5,nmoo,124.49609375
187,500,5,pymoo,124.49609375
188,500,5,nmoo,124.49609375
189,500,5,pymoo,124.49609375
190,500,5,nmoo,124.49609375
191,500,5,pymoo,124.49609375
192,500,5,nmoo,124.49609375
193,500,5,pymoo,124.49609375
194,500,5,nmoo,124.49609375
195,500,5,pymoo,124.49609375
196,500,5,nmoo,124.49609375
197,500,5,pymoo,124.49609375
198,500,5,nmoo,124.49609375
199,500,5,pymoo,124.49609375
200,500,6,nmoo,124.49609375
201,500,6,pymoo,124.49609375
202,500,6,nmoo,124.49609375
203,500,6,pymoo,124.49609375
204,500,6,nmoo,124.49609375
205,500,6,pymoo,124.49609375
206,500,6,nmoo,124.49609375
207,500,6,pymoo,124.49609375
208,500,6,nmoo,124.49609375
209,500,6,pymoo,124.49609375
210,500,6,nmoo,124.49609375
211,500,6,pymoo,124.49609375
212,500,6,nmoo,124.49609375
213,500,6,pymoo,124.49609375
214,500,6,nmoo,124.49609375
215,500,6,pymoo,124.49609375
216,500,6,nmoo,124.49609375
217,500,6,pymoo,124.49609375
218,500,6,nmoo,124.49609375
219,500,6,pymoo,124.49609375
220,500,7,nmoo,124.49609375
221,500,7,pymoo,124.49609375
222,500,7,nmoo,124.49609375
223,500,7,pymoo,124.49609375
224,500,7,nmoo,124.49609375
225,500,7,pymoo,124.49609375
226,500,7,nmoo,124.49609375
227,500,7,pymoo,124.49609375
228,500,7,nmoo,124.49609375
229,500,7,pymoo,124.49609375
230,500,7,nmoo,124.49609375
231,500,7,pymoo,124.49609375
232,500,7,nmoo,124.49609375
233,500,7,pymoo,124.49609375
234,500,7,nmoo,124.49609375
235,500,7,pymoo,124.49609375
236,500,7,nmoo,124.49609375
237,500,7,pymoo,124.49609375
238,500,7,nmoo,124.49609375
239,500,7,pymoo,124.49609375
240,1000,2,nmoo,125.19921875
241,1000,2,pymoo,129.40234375
242,1000,2,nmoo,129.70703125
243,1000,2,pymoo,129.70703125
244,1000,2,nmoo,129.70703125
245,1000,2,pymoo,129.70703125
246,1000,2,nmoo,130.20703125
247,1000,2,pymoo,130.20703125
248,1000,2,nmoo,130.20703125
249,1000,2,pymoo,130.20703125
250,1000,2,nmoo,130.20703125
251,1000,2,pymoo,130.20703125
252,1000,2,nmoo,130.20703125
253,1000,2,pymoo,130.20703125
254,1000,2,nmoo,130.20703125
255,1000,2,pymoo,130.20703125
256,1000,2,nmoo,130.20703125
257,1000,2,pymoo,130.20703125
258,1000,2,nmoo,130.20703125
259,1000,2,pymoo,130.20703125
260,1000,3,nmoo,130.20703125
261,1000,3,pymoo,130.20703125
262,1000,3,nmoo,130.20703125
263,1000,3,pymoo,130.20703125
264,1000,3,nmoo,130.20703125
265,1000,3,pymoo,130.20703125
266,1000,3,nmoo,130.20703125
267,1000,3,pymoo,130.20703125
268,1000,3,nmoo,130.20703125
269,1000,3,pymoo,130.20703125
270,1000,3,nmoo,130.20703125
271,1000,3,pymoo,130.20703125
272,1000,3,nmoo,130.20703125
273,1000,3,pymoo,130.20703125
274,1000,3,nmoo,130.20703125
275,1000,3,pymoo,130.20703125
276,1000,3,nmoo,130.20703125
277,1000,3,pymoo,130.20703125
278,1000,3,nmoo,130.20703125
279,1000,3,pymoo,130.20703125
280,1000,4,nmoo,130.2109375
281,1000,4,pymoo,130.2109375
282,1000,4,nmoo,130.2109375
283,1000,4,pymoo,130.2109375
284,1000,4,nmoo,130.2109375
285,1000,4,pymoo,130.2109375
286,1000,4,nmoo,130.2109375
287,1000,4,pymoo,130.2109375
288,1000,4,nmoo,130.2109375
289,1000,4,pymoo,130.2109375
290,1000,4,nmoo,130.2109375
291,1000,4,pymoo,130.2109375
292,1000,4,nmoo,130.2109375
293,1000,4,pymoo,130.2109375
294,1000,4,nmoo,130.2109375
295,1000,4,pymoo,130.2109375
296,1000,4,nmoo,130.2109375
297,1000,4,pymoo,130.2109375
298,1000,4,nmoo,130.2109375
299,1000,4,pymoo,130.2109375
300,1000,5,nmoo,130.2109375
301,1000,5,pymoo,130.2109375
302,1000,5,nmoo,130.2109375
303,1000,5,pymoo,130.2109375
304,1000,5,nmoo,130.2109375
305,1000,5,pymoo,130.2109375
306,1000,5,nmoo,130.2109375
307,1000,5,pymoo,130.2109375
308,1000,5,nmoo,130.2109375
309,1000,5,pymoo,130.2109375
310,1000,5,nmoo,130.2109375
311,1000,5,pymoo,130.2109375
312,1000,5,nmoo,130.2109375
313,1000,5,pymoo,130.2109375
314,1000,5,nmoo,130.2109375
315,1000,5,pymoo,130.2109375
316,1000,5,nmoo,130.2109375
317,1000,5,pymoo,130.2109375
318,1000,5,nmoo,130.2109375
319,1000,5,pymoo,130.2109375
320,1000,6,nmoo,130.2109375
321,1000,6,pymoo,130.2109375
322,1000,6,nmoo,130.2109375
323,1000,6,pymoo,130.2109375
324,1000,6,nmoo,130.21484375
325,1000,6,pymoo,130.21484375
326,1000,6,nmoo,130.21484375
327,1000,6,pymoo,130.21484375
328,1000,6,nmoo,130.21875
329,1000,6,pymoo,130.21875
330,1000,6,nmoo,130.21875
331,1000,6,pymoo,130.21875
332,1000,6,nmoo,130.21875
333,1000,6,pymoo,130.21875
334,1000,6,nmoo,130.21875
335,1000,6,pymoo,130.21875
336,1000,6,nmoo,130.21875
337,1000,6,pymoo,130.21875
338,1000,6,nmoo,130.21875
339,1000,6,pymoo,130.21875
340,1000,7,nmoo,130.21875
341,1000,7,pymoo,130.21875
342,1000,7,nmoo,130.21875
343,1000,7,pymoo,130.21875
344,1000,7,nmoo,130.21875
345,1000,7,pymoo,130.21875
346,1000,7,nmoo,130.21875
347,1000,7,pymoo,130.21875
348,1000,7,nmoo,130.21875
349,1000,7,pymoo,130.21875
350,1000,7,nmoo,130.21875
351,1000,7,pymoo,130.21875
352,1000,7,nmoo,130.21875
353,1000,7,pymoo,130.21875
354,1000,7,nmoo,130.21875
355,1000,7,pymoo,130.21875
356,1000,7,nmoo,130.21875
357,1000,7,pymoo,130.21875
358,1000,7,nmoo,130.21875
359,1000,7,pymoo,130.21875
360,5000,2,nmoo,136.65625
361,5000,2,pymoo,261.31640625
362,5000,2,nmoo,233.90234375
363,5000,2,pymoo,263.55078125
364,5000,2,nmoo,230.9375
365,5000,2,pymoo,262.37109375
366,5000,2,nmoo,235.72265625
367,5000,2,pymoo,264.0390625
368,5000,2,nmoo,232.67578125
369,5000,2,pymoo,263.15234375
370,5000,2,nmoo,234.8359375
371,5000,2,pymoo,264.9921875
372,5000,2,nmoo,236.27734375
373,5000,2,pymoo,264.5234375
374,5000,2,nmoo,239.5546875
375,5000,2,pymoo,265.31640625
376,5000,2,nmoo,235.5
377,5000,2,pymoo,264.47265625
378,5000,2,nmoo,235.640625
379,5000,2,pymoo,265.90234375
380,5000,3,nmoo,235.15625
381,5000,3,pymoo,247.4296875
382,5000,3,nmoo,236.984375
383,5000,3,pymoo,248.58984375
384,5000,3,nmoo,239.50390625
385,5000,3,pymoo,247.953125
386,5000,3,nmoo,240.80078125
387,5000,3,pymoo,249.55078125
388,5000,3,nmoo,241.046875
389,5000,3,pymoo,249.48046875
390,5000,3,nmoo,241.0546875
391,5000,3,pymoo,249.72265625
392,5000,3,nmoo,237.3984375
393,5000,3,pymoo,249.83984375
394,5000,3,nmoo,237.65234375
395,5000,3,pymoo,249.95703125
396,5000,3,nmoo,237.79296875
397,5000,3,pymoo,250.546875
398,5000,3,nmoo,238.97265625
399,5000,3,pymoo,250.5078125
400,5000,4,nmoo,241.51953125
401,5000,4,pymoo,241.96875
402,5000,4,nmoo,240.18359375
403,5000,4,pymoo,242.09765625
404,5000,4,nmoo,239.84375
405,5000,4,pymoo,242.12890625
406,5000,4,nmoo,238.25390625
407,5000,4,pymoo,242.15234375
408,5000,4,nmoo,240.99609375
409,5000,4,pymoo,242.27734375
410,5000,4,nmoo,238.25390625
411,5000,4,pymoo,241.9375
412,5000,4,nmoo,239.671875
413,5000,4,pymoo,242.6484375
414,5000,4,nmoo,238.40625
415,5000,4,pymoo,242.484375
416,5000,4,nmoo,238.47265625
417,5000,4,pymoo,242.00390625
418,5000,4,nmoo,238.25390625
419,5000,4,pymoo,242.19921875
420,5000,5,nmoo,240.9140625
421,5000,5,pymoo,240.92578125
422,5000,5,nmoo,238.25390625
423,5000,5,pymoo,239.10546875
424,5000,5,nmoo,239.203125
425,5000,5,pymoo,239.22265625
426,5000,5,nmoo,239.22265625
427,5000,5,pymoo,239.22265625
428,5000,5,nmoo,239.22265625
429,5000,5,pymoo,239.22265625
430,5000,5,nmoo,239.22265625
431,5000,5,pymoo,239.22265625
432,5000,5,nmoo,239.22265625
433,5000,5,pymoo,239.2890625
434,5000,5,nmoo,239.2890625
435,5000,5,pymoo,239.2890625
436,5000,5,nmoo,239.2890625
437,5000,5,pymoo,239.2890625
438,5000,5,nmoo,239.2890625
439,5000,5,pymoo,239.2890625
440,5000,6,nmoo,239.2890625
441,5000,6,pymoo,239.2890625
